id_student,freq_util,verif_sources,model_quality,prompt_quality,note_exam
66,5,5,3,4,100
350,4,3,0,3,45
341,4,0,3,5,41
37,1,3,1,0,4
164,3,3,4,1,77
287,3,0,3,2,0
215,3,1,5,5,100
123,1,0,4,4,40
162,3,0,4,1,35
72,3,nan,3,2,0
282,4,4,1,4,72
14,2,2,0,0,2
87,2,5,0,4,100
121,1,0,1,3,6
380,3,2,1,2,0
149,3,1,0,5,36
187,0,1,3,2,27
166,1,3,4,2,93
40,4,2,1,1,0
379,1,3,2,4,100
278,3,3,5,0,6
125,5,0,3,3,0
106,nan,2,2,2,31
280,1,0,2,0,46
112,1,4,2,5,68
265,2,5,0,2,42
180,4,0,4,4,84
210,2,2,1,3,44
298,3,1,1,2,0
311,2,5,3,2,100
342,3,2,2,2,52
291,3,1,2,3,53
185,3,1,1,2,53
246,2,1,2,0,4
140,3,2,2,2,13
276,2,0,1,5,68
340,3,0,4,nan,44
238,0,0,1,1,100
20,4,5,3,1,100
234,5,5,1,4,100
294,2,2,4,0,6
297,4,1,3,1,0
318,4,1,2,2,0
352,4,3,4,1,71
344,2,4,1,1,53
357,5,1,0,4,0
9,4,5,4,2,100
119,0,5,2,4,52
315,1,1,2,2,73
370,5,2,2,5,100
132,4,0,2,3,0
299,1,1,5,4,67
219,2,2,2,1,27
161,1,4,2,3,90
263,4,4,1,2,42
296,1,3,3,0,29
117,3,1,4,1,34
75,2,5,5,0,100
348,4,2,5,2,52
216,2,5,5,4,100
222,4,2,0,4,0
272,2,3,4,4,93
88,3,3,5,2,100
192,2,2,3,0,17
56,4,2,4,1,12
332,3,3,3,2,58
49,4,2,3,0,0
96,4,3,3,nan,25
194,2,3,4,2,72
48,4,0,4,2,0
145,3,0,3,0,0
100,2,0,4,1,1
230,2,0,0,1,0
154,0,3,3,2,15
134,2,1,3,4,94
211,4,1,3,2,58
267,2,2,1,3,39
304,3,1,1,4,35
364,0,3,3,1,77
286,5,0,3,0,0
105,4,2,2,4,64
81,0,3,3,4,nan
128,4,3,0,0,0
273,1,0,0,5,81
28,0,1,3,3,51
55,3,4,0,4,35
330,3,1,0,3,88
47,2,0,2,2,0
212,2,2,4,4,100
157,3,0,2,2,28
303,5,0,2,2,0
248,3,2,2,0,0
258,4,5,0,4,26
63,5,3,5,1,100
363,2,0,0,1,0
8,2,2,3,0,0
115,1,2,0,4,52
30,2,4,2,2,75
249,1,0,2,4,75
101,1,1,2,4,45
328,0,2,4,2,33
293,1,1,5,1,0
183,2,1,2,1,1
325,2,5,4,1,88
329,1,2,2,2,58
387,3,2,0,3,0
198,4,4,1,0,0
269,1,1,3,2,100
71,2,0,2,3,62
353,2,2,4,4,100
21,4,1,2,0,0
231,4,0,4,0,0
129,3,0,2,2,0
361,3,0,3,3,0
247,1,1,2,4,25
138,2,4,4,5,70
43,2,1,0,4,44
308,2,3,2,2,41
46,3,1,0,5,31
176,1,5,3,4,100
256,2,3,2,0,28
337,3,1,2,1,0
382,5,1,0,0,0
52,2,1,5,1,0
202,5,1,0,3,0
224,3,5,2,3,66
99,2,4,0,3,15
26,2,5,1,1,26
0,2,3,1,0,11
94,4,4,4,3,100
351,3,0,2,4,82
86,5,0,2,4,31
359,3,1,3,2,nan
148,nan,1,3,3,84
67,3,5,4,1,75
300,2,1,2,0,0
97,4,0,2,1,0
65,2,5,3,0,38
201,2,0,0,0,0
95,3,0,2,2,0
16,4,2,0,1,32
58,2,4,4,0,52
15,4,0,5,1,70
155,1,1,3,2,3
266,3,1,2,0,0
284,3,0,5,1,40
50,3,1,5,3,nan
27,5,0,1,1,0
386,4,2,5,1,100
197,1,0,3,0,38
283,3,0,0,2,0
184,3,0,5,4,nan
178,5,1,1,1,0
262,2,0,2,4,68
389,5,0,4,2,0
2,2,2,1,3,64
61,4,0,3,0,0
203,3,4,3,3,100
152,5,3,4,1,9
127,3,3,2,1,57
236,2,3,2,1,76
147,1,1,1,1,0
391,2,2,4,2,38
74,4,3,4,4,100
181,3,3,2,2,9
186,2,0,5,2,25
29,4,4,0,1,0
59,2,2,nan,0,0
98,2,0,1,1,0
322,3,0,5,3,11
257,2,5,4,0,73
390,4,1,4,2,50
374,2,2,4,1,100
209,5,2,3,0,0
142,5,0,0,2,0
173,4,4,2,3,97
383,3,3,2,5,88
245,3,0,nan,1,0
62,1,1,2,1,50
241,3,1,2,3,50
82,5,1,0,3,0
78,1,2,4,2,62
1,4,2,3,0,0
327,3,3,0,0,nan
362,3,2,1,0,0
289,3,0,0,1,0
369,4,2,4,3,57
365,2,1,4,5,100
110,5,4,2,2,35
277,3,0,3,0,0
336,1,0,4,0,19
292,1,4,5,1,100
385,4,1,3,3,55
80,2,0,4,2,27
381,3,4,2,0,37
372,2,3,4,0,94
295,2,3,3,3,100
137,4,1,0,1,0
22,1,0,3,2,37
195,1,1,4,0,0
32,5,2,nan,2,0
214,3,1,2,2,10
376,2,3,2,0,59
168,1,1,0,3,61
375,1,0,2,3,58
275,2,1,1,4,28
313,3,0,4,4,53
368,3,2,1,2,9
143,2,2,3,1,20
279,3,0,3,1,0
175,3,0,5,4,45
18,3,0,2,0,0
378,1,4,0,3,91
235,2,1,4,5,68
11,2,3,2,1,62
6,1,0,5,2,35
205,2,0,2,5,0
314,0,0,2,3,51
150,2,4,3,3,100
309,4,1,1,0,0
10,2,5,1,1,27
41,4,0,3,2,33
179,5,0,3,1,0
31,4,0,2,1,0
233,3,5,1,0,0
360,2,4,3,4,87
25,4,3,1,0,0
339,4,0,3,4,21
301,3,0,4,1,0
109,3,2,4,4,100
73,2,2,5,3,65
135,0,2,5,3,35
317,5,3,4,1,0
237,4,2,3,0,1
254,5,2,2,4,87
250,2,1,2,2,31
285,4,1,5,1,0
377,3,0,4,0,nan
319,0,3,2,0,3
118,2,0,4,4,62
220,1,0,3,3,35
333,1,5,2,3,68
324,2,0,5,1,64
126,4,2,4,5,100
307,1,0,0,1,6
91,1,2,3,3,81
7,3,4,4,3,nan
170,2,0,0,3,0
343,0,0,3,5,92
371,1,0,3,1,0
124,1,3,0,1,nan
193,2,5,1,5,100
172,4,4,0,0,0
107,1,0,1,1,54
54,2,2,2,3,12
255,1,2,0,0,0
90,4,2,4,0,8
260,1,0,5,1,100
229,4,3,5,3,100
227,2,2,0,4,47
17,4,1,nan,0,0
163,3,1,nan,0,0
174,2,1,1,3,3
204,5,2,0,1,0
89,0,2,1,2,58
165,3,5,3,2,73
338,3,1,0,3,0
120,2,4,5,4,100
70,0,4,3,0,47
240,0,0,0,1,62
320,2,1,0,2,15
103,1,2,2,1,15
334,3,5,3,1,71
144,4,0,5,5,100
158,5,2,3,5,100
182,0,1,1,5,31
355,1,1,4,1,12
77,4,1,4,4,42
206,2,2,0,1,0
53,4,0,2,3,0
5,4,5,2,2,76
76,4,3,0,1,0
367,5,2,3,4,nan
356,2,0,2,5,26
160,5,1,nan,0,0
191,4,2,0,1,0
346,2,0,1,2,0
232,5,0,3,3,0
208,2,0,5,3,81
305,5,1,1,5,17
259,4,3,4,0,79
111,4,2,0,3,0
116,2,3,3,0,0
228,3,5,3,3,95
239,1,1,2,2,15
79,5,5,0,0,3
42,3,0,2,5,40
218,3,0,1,5,11
36,4,5,0,1,0
84,2,0,1,0,2
288,3,2,2,0,0
226,2,4,nan,1,20
34,1,3,1,0,2
60,1,2,2,2,100
388,5,5,2,4,100
122,4,0,2,1,0
270,2,2,0,5,43
225,5,1,4,2,17
83,3,3,1,2,36
200,2,1,4,2,58
156,3,2,2,2,0
190,1,3,2,1,52
92,1,5,0,2,41
159,2,1,5,0,70
335,3,4,3,4,100
33,2,5,2,1,100
253,3,3,2,1,34
45,5,4,2,1,0
221,4,0,2,1,1
177,1,1,2,4,74
302,3,2,5,3,100
188,2,1,4,1,0
85,3,0,5,5,93
354,5,2,3,3,59
141,1,2,2,2,76
274,4,0,1,1,0
331,3,5,2,4,94
104,5,1,2,3,0
151,2,2,0,0,27
93,0,0,3,3,5
384,4,3,4,1,51
316,2,0,0,3,0
167,3,0,2,nan,0
345,4,0,2,0,0
261,4,4,3,2,100
44,3,3,0,2,32
3,0,1,5,2,51
51,2,3,3,0,0
306,3,0,1,0,0
243,1,4,4,nan,53
113,3,2,3,0,0
189,2,4,3,5,100
153,4,0,4,3,87
196,3,5,2,2,89
252,4,3,0,1,0
38,3,0,1,1,0
373,3,4,2,0,1
39,4,1,4,2,46
35,2,0,2,0,12
13,2,1,2,1,0
358,0,4,0,5,28
12,5,4,2,0,0
223,2,0,4,2,58
108,5,3,4,0,3
281,3,1,0,1,0
366,5,3,2,2,1
242,nan,2,5,5,83
213,2,nan,0,1,26
290,2,3,1,2,34
136,5,5,4,4,100
323,2,3,1,2,40
321,3,2,4,0,0
139,2,1,2,2,64
133,0,2,4,5,45
102,1,5,3,4,64
114,2,3,2,5,76
68,3,5,2,1,65
217,3,0,5,4,66
130,3,0,2,1,0
310,2,0,5,0,2
349,2,1,1,0,0
251,4,1,5,0,0
69,4,0,3,1,0
326,3,0,3,4,nan
131,3,0,0,0,0
19,4,4,0,1,28
64,1,0,0,0,0
146,3,4,0,2,59
57,2,4,2,5,6
312,4,1,2,0,0
171,3,1,3,1,3
207,2,0,2,1,0
347,5,0,3,2,0
23,1,0,3,2,66
264,2,0,4,3,31
24,1,2,0,1,0
4,4,2,3,1,26
199,5,5,2,3,100
244,3,0,2,5,55
271,3,5,1,2,34
268,3,0,2,1,14
169,2,2,1,1,0
